time	V(drain)	V(drain)/Id(M1)
1.262799999948857e-008	1.435673e-001	3.014807e+003
1.301862499948857e-008	1.259057e-001	2.938809e+003
1.340924999948857e-008	1.100626e-001	2.872390e+003
1.379987499948858e-008	9.593093e-002	2.814490e+003
1.419049999948858e-008	8.339132e-002	2.764137e+003
1.458112499948858e-008	7.231710e-002	2.720444e+003
1.497174999948858e-008	6.257899e-002	2.682609e+003
1.536237499948858e-008	5.404884e-002	2.649908e+003
1.575299999948858e-008	4.660253e-002	2.621692e+003
1.614362499948857e-008	4.012228e-002	2.597382e+003
1.653424999948857e-008	3.449801e-002	2.576465e+003
1.692487499948857e-008	2.962827e-002	2.558490e+003
1.731549999948856e-008	2.542063e-002	2.543060e+003
1.770612499948856e-008	2.179169e-002	2.529825e+003
1.799909374948856e-008	1.940455e-002	2.521156e+003
1.829206249948855e-008	1.727238e-002	2.513438e+003
1.858503124948855e-008	1.536929e-002	2.506569e+003
1.887799999948855e-008	1.367175e-002	2.500457e+003
1.917096874948854e-008	1.215842e-002	2.495021e+003
1.946393749948854e-008	1.080999e-002	2.490186e+003
1.975690624948854e-008	9.609030e-003	2.485888e+003
2.004987499948854e-008	8.539852e-003	2.482068e+003
2.034284374948853e-008	7.588338e-003	2.478673e+003
2.063581249948853e-008	6.741812e-003	2.475657e+003
2.092878124948853e-008	5.988906e-003	2.472977e+003
2.122174999948852e-008	5.319437e-003	2.470596e+003
2.151471874948852e-008	4.724296e-003	2.468482e+003
2.190534374948852e-008	4.032443e-003	2.466026e+003
2.229596874948851e-008	3.441407e-003	2.463930e+003
2.268659374948851e-008	2.936632e-003	2.462141e+003
2.307721874948851e-008	2.505629e-003	2.460614e+003
2.346784374948850e-008	2.137688e-003	2.459312e+003
2.385846874948850e-008	1.823636e-003	2.458201e+003
2.424909374948850e-008	1.555619e-003	2.457253e+003
2.463971874948849e-008	1.326917e-003	2.456445e+003
2.503034374948849e-008	1.131782e-003	2.455755e+003
2.551862499948848e-008	9.276563e-004	2.455034e+003
2.600690624948848e-008	7.603057e-004	2.454443e+003
2.649518749948847e-008	6.231184e-004	2.453958e+003
2.698346874948847e-008	5.106665e-004	2.453561e+003
2.756940624948846e-008	4.021619e-004	2.453178e+003
2.815534374948846e-008	3.167015e-004	2.452877e+003
2.883893749948845e-008	2.396588e-004	2.452605e+003
2.962018749948844e-008	1.742724e-004	2.452374e+003
3.049909374948846e-008	1.217741e-004	2.452189e+003
3.157331249948849e-008	7.857315e-005	2.452036e+003
3.294049999948852e-008	4.498682e-005	2.451918e+003
3.489362499948857e-008	2.028086e-005	2.451831e+003
3.811628124948865e-008	5.447187e-006	2.451779e+003
4.924909374948892e-008	5.806233e-008	2.451759e+003
9.817487499949010e-008	1.170348e-016	1.259314e+003
9.993268749949014e-008	5.610486e-017	1.000000e+308
1.000000000000000e-007	5.448298e-017	1.000000e+308
Step Information: Vdd=1.4  (Run: 10/14)
0.000000000000000e+000	1.400000e+000	1.144920e+004
9.765624960978488e-016	1.400000e+000	1.145054e+004
1.953124992195698e-015	1.400000e+000	1.145099e+004
4.327218749488533e-009	8.816630e-001	7.528707e+003
6.475656249488531e-009	6.338090e-001	5.596050e+003
7.452218749488530e-009	5.246199e-001	4.766904e+003
8.135812499488535e-009	4.506219e-001	4.246959e+003
8.624093749488539e-009	3.998159e-001	3.928784e+003
9.210031249488543e-009	3.421625e-001	3.612099e+003
9.795968749488547e-009	2.891077e-001	3.354835e+003
1.028424999948855e-008	2.489199e-001	3.176444e+003
