time	Ig(M1)
Step Information: Vdd=-1.8  (Run: 1/37)
4.540740676706673e-001	3.443522e-016
4.550740676706672e-001	3.443522e-016
4.560740676706672e-001	3.443522e-016
4.570740676706674e-001	3.443522e-016
4.580740676706674e-001	3.443522e-016
4.590740676706674e-001	3.443522e-016
4.600740676706674e-001	3.443522e-016
4.610740676706675e-001	3.443522e-016
4.620740676706672e-001	3.443522e-016
4.630740676706674e-001	3.443522e-016
4.640740676706674e-001	3.443522e-016
4.650740676706672e-001	3.443522e-016
4.660740676706674e-001	3.443522e-016
4.670740676706675e-001	3.443522e-016
4.680740676706674e-001	3.443522e-016
4.686325345388837e-001	-2.659147e-016
4.695740676706674e-001	-3.443567e-016
4.706325345388839e-001	-2.659147e-016
4.715740676706674e-001	-3.443567e-016
4.726325345388839e-001	-2.659147e-016
4.735740676706676e-001	-3.443567e-016
4.746325345388837e-001	-2.659147e-016
4.755740676706673e-001	-3.443567e-016
4.766325345388838e-001	-2.659147e-016
4.775740676706672e-001	-3.443567e-016
4.786325345388838e-001	-2.659147e-016
4.795740676706675e-001	-3.443567e-016
4.806325345388839e-001	-2.659147e-016
4.815740676706675e-001	-3.443567e-016
4.826325345388837e-001	-2.659147e-016
4.835740676706672e-001	-3.443567e-016
4.846325345388839e-001	-2.659147e-016
4.855740676706674e-001	-3.443567e-016
4.866325345388838e-001	-2.659147e-016
4.875740676706674e-001	-3.443567e-016
4.886325345388839e-001	-2.659147e-016
4.895740676706671e-001	-3.443567e-016
4.906325345388839e-001	-2.659147e-016
4.915740676706673e-001	-3.443567e-016
4.926325345388837e-001	-2.659147e-016
4.935740676706673e-001	-3.443567e-016
4.946325345388838e-001	-2.659147e-016
4.955740676706674e-001	-3.443567e-016
4.966325345388838e-001	-2.659147e-016
4.975740676706673e-001	-3.443567e-016
4.986325345388837e-001	-2.659147e-016
4.995740676706675e-001	-3.443567e-016
5.006325345388837e-001	-2.659147e-016
5.015740676706673e-001	-3.443567e-016
5.026325345388837e-001	-2.659147e-016
5.035740676706675e-001	-3.443567e-016
5.046325345388838e-001	-2.659147e-016
5.055740676706675e-001	-3.443567e-016
5.066325345388838e-001	-2.659147e-016
5.075740676706672e-001	-3.443567e-016
5.086325345388837e-001	-2.659147e-016
5.095740676706672e-001	-3.443567e-016
5.106325345388838e-001	-2.659147e-016
5.112298585342137e-001	5.054000e-017
5.119737790217864e-001	3.725974e-016
5.136325345388838e-001	-2.659147e-016
5.145740676706675e-001	-3.443567e-016
5.156325345388838e-001	-2.659147e-016
5.165740676706672e-001	-3.443567e-016
5.176325345388837e-001	-2.659147e-016
5.185740676706675e-001	-3.443567e-016
5.196325345388837e-001	-2.659147e-016
5.205740676706672e-001	-3.443567e-016
5.216325345388839e-001	-2.659147e-016
5.225740676706673e-001	-3.443567e-016
5.236325345388839e-001	-2.659147e-016
5.245740676706675e-001	-3.443567e-016
5.256325345388838e-001	-2.659147e-016
5.265740676706672e-001	-3.443567e-016
5.276325345388839e-001	-2.659147e-016
5.285740676706673e-001	-3.443567e-016
5.296325345388839e-001	-2.659147e-016
5.305740676706675e-001	-3.443567e-016
5.316325345388838e-001	-2.659147e-016
5.325740676706675e-001	-3.443567e-016
5.336325345388838e-001	-2.659147e-016
5.345740676706673e-001	-3.443567e-016
5.356325345388837e-001	-2.659147e-016
5.365740676706675e-001	-3.443567e-016
5.376325345388837e-001	-2.659147e-016
5.385740676706675e-001	-3.443567e-016
5.396325345388839e-001	-2.659147e-016
5.405740676706675e-001	-3.443567e-016
5.416325345388839e-001	-2.659147e-016
5.425740676706675e-001	-3.443567e-016
5.436325345388836e-001	-2.659147e-016
5.445740676706674e-001	-3.443567e-016
5.456325345388839e-001	-2.659147e-016
5.465740676706671e-001	-3.443567e-016
5.476325345388839e-001	-2.659147e-016
5.485740676706675e-001	-3.443567e-016
5.496325345388839e-001	-2.659147e-016
5.505740676706675e-001	-3.443567e-016
5.516325345388838e-001	-2.659147e-016
5.525740676706671e-001	-3.443567e-016
5.536325345388837e-001	-2.659147e-016
5.538241870394900e-001	1.774091e-016
5.544737790217864e-001	-3.725958e-016
5.561325345388838e-001	2.659086e-016
5.570740676706671e-001	3.443522e-016
5.580740676706671e-001	3.443522e-016
5.590740676706678e-001	3.443522e-016
5.600740676706671e-001	3.443522e-016
5.610740676706671e-001	3.443522e-016
5.620740676706673e-001	3.443522e-016
5.630740676706671e-001	3.443522e-016
5.640740676706672e-001	3.443522e-016
5.650740676706673e-001	3.443522e-016
5.660740676706675e-001	3.443522e-016
5.670740676706673e-001	3.443522e-016
5.680740676706672e-001	3.443522e-016
5.690740676706675e-001	3.443522e-016
5.700740676706672e-001	3.443522e-016
5.710740676706673e-001	3.443522e-016
5.720740676706672e-001	3.443522e-016
5.730740676706673e-001	3.443522e-016
5.740740676706673e-001	3.443522e-016
5.750740676706675e-001	3.443522e-016
5.760740676706673e-001	3.443522e-016
5.770740676706675e-001	3.443522e-016
5.780740676706675e-001	3.443522e-016
5.790740676706672e-001	3.443522e-016
5.800740676706673e-001	3.443522e-016
5.810740676706672e-001	3.443522e-016
5.820740676706673e-001	3.443522e-016
5.830740676706673e-001	3.443522e-016
5.840740676706675e-001	3.443522e-016
5.850740676706673e-001	3.443522e-016
5.860740676706675e-001	3.443522e-016
5.870740676706675e-001	3.443522e-016
5.880740676706675e-001	3.443522e-016
5.890740676706673e-001	3.443522e-016
5.900740676706672e-001	3.443522e-016
5.910740676706673e-001	3.443522e-016
5.920740676706673e-001	3.443522e-016
5.930740676706675e-001	3.443522e-016
5.940740676706673e-001	3.443522e-016
5.950740676706675e-001	3.443522e-016
5.960740676706675e-001	3.443522e-016
5.966325345388837e-001	-2.659147e-016
5.975740676706671e-001	-3.443567e-016
5.986325345388837e-001	-2.659147e-016
5.995740676706672e-001	-3.443567e-016
6.006325345388838e-001	-2.659147e-016
6.015740676706671e-001	-3.443567e-016
6.026325345388839e-001	-2.659147e-016
6.035740676706671e-001	-3.443567e-016
6.046325345388840e-001	-2.659147e-016
6.055740676706671e-001	-3.443567e-016
6.066325345388837e-001	-2.659147e-016
6.075740676706671e-001	-3.443567e-016
6.086325345388837e-001	-2.659147e-016
6.095740676706672e-001	-3.443567e-016
6.106325345388837e-001	-2.659147e-016
6.115740676706675e-001	-3.443567e-016
6.126325345388837e-001	-2.659147e-016
6.135740676706678e-001	-3.443567e-016
6.146325345388837e-001	-2.659147e-016
6.155740676706671e-001	-3.443567e-016
6.166325345388837e-001	-2.659147e-016
6.175740676706671e-001	-3.443567e-016
6.186325345388838e-001	-2.659147e-016
6.195740676706671e-001	-3.443567e-016
6.206325345388838e-001	-2.659147e-016
6.215740676706671e-001	-3.443567e-016
6.226325345388840e-001	-2.659147e-016
6.235740676706671e-001	-3.443567e-016
6.246325345388837e-001	-2.659147e-016
6.255740676706671e-001	-3.443567e-016
6.266325345388837e-001	-2.659147e-016
6.275740676706673e-001	-3.443567e-016
6.286325345388837e-001	-2.659147e-016
6.295740676706675e-001	-3.443567e-016
6.306325345388837e-001	-2.659147e-016
6.315740676706678e-001	-3.443567e-016
6.326325345388837e-001	-2.659147e-016
6.335740676706672e-001	-3.443567e-016
6.346325345388837e-001	-2.659147e-016
6.355740676706675e-001	-3.443567e-016
6.366325345388838e-001	-2.659147e-016
6.375740676706672e-001	-3.443567e-016
6.386325345388838e-001	-2.659147e-016
6.392298585342136e-001	5.054000e-017
6.399737790217870e-001	3.725974e-016
6.416325345388838e-001	-2.659147e-016
6.425740676706673e-001	-3.443567e-016
6.436325345388838e-001	-2.659147e-016
6.445740676706675e-001	-3.443567e-016
6.456325345388837e-001	-2.659147e-016
6.465740676706672e-001	-3.443567e-016
6.476325345388838e-001	-2.659147e-016
6.485740676706671e-001	-3.443567e-016
6.496325345388836e-001	-2.659147e-016
6.505740676706675e-001	-3.443567e-016
6.516325345388838e-001	-2.659147e-016
6.525740676706673e-001	-3.443567e-016
6.536325345388839e-001	-2.659147e-016
6.545740676706675e-001	-3.443567e-016
6.556325345388838e-001	-2.659147e-016
6.565740676706672e-001	-3.443567e-016
6.576325345388839e-001	-2.659147e-016
6.585740676706675e-001	-3.443567e-016
6.596325345388837e-001	-2.659147e-016
6.605740676706674e-001	-3.443567e-016
6.616325345388839e-001	-2.659147e-016
6.625740676706674e-001	-3.443567e-016
6.636325345388839e-001	-2.659147e-016
6.645740676706679e-001	-3.443567e-016
6.656325345388838e-001	-2.659147e-016
6.665740676706671e-001	-3.443567e-016
6.676325345388836e-001	-2.659147e-016
6.685740676706675e-001	-3.443567e-016
6.696325345388838e-001	-2.659147e-016
6.705740676706673e-001	-3.443567e-016
6.716325345388839e-001	-2.659147e-016
6.725740676706675e-001	-3.443567e-016
6.736325345388838e-001	-2.659147e-016
6.745740676706672e-001	-3.443567e-016
6.756325345388839e-001	-2.659147e-016
6.765740676706675e-001	-3.443567e-016
6.776325345388841e-001	-2.659147e-016
6.785740676706668e-001	-3.443567e-016
6.796325345388840e-001	-2.659147e-016
6.805740676706675e-001	-3.443567e-016
6.816325345388840e-001	-2.659147e-016
6.818241870394901e-001	1.774091e-016
6.824737790217872e-001	-3.725958e-016
6.841325345388837e-001	2.659086e-016
6.850740676706680e-001	3.443522e-016
6.860740676706674e-001	3.443522e-016
6.870740676706671e-001	3.443522e-016
6.880740676706674e-001	3.443522e-016
6.890740676706675e-001	3.443522e-016
6.900740676706677e-001	3.443522e-016
6.910740676706672e-001	3.443522e-016
6.920740676706673e-001	3.443522e-016
6.930740676706674e-001	3.443522e-016
6.940740676706673e-001	3.443522e-016
6.950740676706672e-001	3.443522e-016
6.960740676706678e-001	3.443522e-016
6.970740676706674e-001	3.443522e-016
6.980740676706672e-001	3.443522e-016
6.990740676706678e-001	3.443522e-016
7.000740676706674e-001	3.443522e-016
7.010740676706674e-001	3.443522e-016
7.020740676706672e-001	3.443522e-016
7.030740676706671e-001	3.443522e-016
7.040740676706674e-001	3.443522e-016
7.050740676706672e-001	3.443522e-016
7.060740676706674e-001	3.443522e-016
7.070740676706675e-001	3.443522e-016
7.080740676706674e-001	3.443522e-016
7.090740676706672e-001	3.443522e-016
7.100740676706673e-001	3.443522e-016
7.110740676706674e-001	3.443522e-016
7.120740676706675e-001	3.443522e-016
7.130740676706669e-001	3.443522e-016
7.140740676706675e-001	3.443522e-016
7.150740676706675e-001	3.443522e-016
7.160740676706672e-001	3.443522e-016
7.170740676706674e-001	3.443522e-016
7.180740676706674e-001	3.443522e-016
7.190740676706674e-001	3.443522e-016
